PERMNO,DATE,n,RET,alpha,b_mkt,b_smb,b_hml,b_umd,ivol,tvol,R2,exret,TICKER
10107,24/04/2019,252,-0.3428%,0.0005,1.2464,-0.2878,-0.3582,0.5190,0.7151%,1.5928%,79.8455%,-0.2375%,MSFT
10107,16/02/2021,252,-0.5266%,0.0000,1.2136,-0.2524,-0.4379,0.0581,1.0066%,2.7746%,86.8394%,0.3825%,MSFT
10107,09/03/2021,252,2.8101%,0.0003,1.1991,-0.2904,-0.4024,0.0607,0.9647%,2.6326%,86.5712%,-0.5443%,MSFT
10107,01/03/2021,252,1.9623%,0.0000,1.2039,-0.2656,-0.4165,0.0652,0.9718%,2.7206%,87.2416%,-0.9278%,MSFT
10107,20/07/2017,252,0.4874%,0.0007,1.1170,-0.2525,-0.4345,0.4157,0.6181%,0.9102%,53.8790%,0.5102%,MSFT
10107,17/02/2021,252,0.4350%,0.0000,1.2133,-0.2574,-0.4352,0.0582,1.0059%,2.7742%,86.8522%,0.8036%,MSFT
10107,15/12/2021,252,1.9218%,0.0013,0.9730,-0.4485,-0.4050,0.1154,0.7728%,1.3070%,65.0399%,-0.3097%,MSFT
10107,08/03/2018,252,0.6073%,0.0003,1.1899,-0.2655,-0.5525,0.4265,0.6670%,1.1351%,65.4704%,-0.1268%,MSFT
10107,09/11/2018,252,-1.9508%,0.0004,1.1909,-0.4049,-0.4021,0.6413,0.7214%,1.5896%,79.4067%,-0.9435%,MSFT
10107,30/03/2017,252,0.3666%,0.0002,1.3558,-0.4561,-0.3945,0.2287,0.8434%,1.1583%,46.9881%,0.2459%,MSFT
10107,30/06/2020,252,2.5549%,0.0007,1.2301,-0.1944,-0.4988,0.0591,0.7949%,2.5396%,90.2016%,0.5708%,MSFT
10107,01/04/2020,252,-3.5508%,0.0009,1.2611,-0.2908,-0.5825,0.0545,0.7672%,2.4060%,89.8324%,0.9072%,MSFT
10107,16/08/2019,252,1.8327%,0.0004,1.2966,-0.3572,-0.3841,0.3343,0.7488%,1.6721%,79.9468%,0.6168%,MSFT
10107,09/01/2019,252,1.4300%,0.0007,1.2188,-0.3762,-0.4159,0.5812,0.7132%,1.8160%,84.5771%,1.4411%,MSFT
10107,03/06/2020,252,0.2434%,0.0005,1.2281,-0.2286,-0.5002,0.0489,0.7900%,2.4983%,90.0009%,0.1025%,MSFT
10107,16/06/2017,252,0.1431%,0.0007,1.2579,-0.2847,-0.4423,0.2403,0.7072%,1.0168%,51.6245%,0.0206%,MSFT
10107,03/08/2020,252,5.6241%,0.0006,1.2380,-0.1618,-0.5051,0.0634,0.8576%,2.6026%,89.1417%,4.1617%,MSFT
10107,03/04/2020,252,-0.9210%,0.0009,1.2571,-0.2818,-0.5716,0.0652,0.7699%,2.4095%,89.7899%,0.1969%,MSFT
10107,06/03/2020,252,-2.8267%,0.0005,1.2538,-0.4450,-0.6175,-0.0102,0.6731%,1.4728%,79.1106%,-1.5488%,MSFT
10107,03/11/2017,252,0.1071%,0.0003,1.1489,-0.2195,-0.5322,0.4945,0.6440%,0.9544%,54.4678%,-0.9757%,MSFT
10107,16/07/2019,252,-1.3103%,0.0003,1.3091,-0.3865,-0.3809,0.3993,0.7428%,1.6419%,79.5342%,-0.7294%,MSFT
10107,10/09/2018,252,1.0812%,0.0004,1.2254,-0.4195,-0.5439,0.5684,0.7110%,1.4155%,74.7700%,0.6007%,MSFT
10107,05/02/2020,252,-0.1221%,0.0007,1.3032,-0.4457,-0.4943,0.0580,0.5752%,1.1824%,76.3372%,-0.4355%,MSFT
10107,28/04/2017,252,0.2783%,0.0007,1.2839,-0.3472,-0.3355,0.1566,0.7237%,1.0391%,51.4865%,0.2284%,MSFT
10107,03/12/2019,252,-0.1605%,0.0003,1.2544,-0.4853,-0.5152,0.0321,0.6571%,1.4464%,79.3584%,0.5162%,MSFT
10107,09/01/2020,252,1.2493%,0.0003,1.2966,-0.4278,-0.4481,0.0852,0.6296%,1.2035%,72.6383%,-0.1523%,MSFT
10107,17/12/2019,252,-0.5401%,0.0003,1.2714,-0.4724,-0.4563,0.0545,0.6453%,1.3707%,77.8397%,-0.1690%,MSFT
10107,23/03/2017,252,-0.2460%,0.0003,1.3568,-0.4285,-0.4211,0.2118,0.8518%,1.1694%,46.9354%,0.2671%,MSFT
10107,31/10/2019,252,-0.8575%,0.0004,1.3038,-0.4368,-0.3595,0.1753,0.6939%,1.5565%,80.1270%,-0.7434%,MSFT
10107,10/12/2019,252,-0.1520%,0.0003,1.2746,-0.4626,-0.4547,0.0612,0.6469%,1.3986%,78.6078%,0.0500%,MSFT
10107,10/07/2018,252,0.2651%,0.0005,1.2559,-0.3222,-0.5072,0.4821,0.7132%,1.3783%,73.2258%,-0.2492%,MSFT
10107,22/05/2017,252,1.1228%,0.0005,1.2847,-0.2973,-0.3981,0.1885,0.7258%,1.0373%,51.0373%,0.3012%,MSFT
10107,01/02/2017,252,-1.6551%,0.0003,1.3755,-0.4398,-0.4633,0.2462,0.8992%,1.2855%,51.0699%,-1.8409%,MSFT
10107,15/07/2019,252,0.0000%,0.0004,1.3077,-0.3816,-0.3805,0.4012,0.7430%,1.6408%,79.4966%,-0.8080%,MSFT
10107,09/05/2019,252,-0.0080%,0.0006,1.2537,-0.2958,-0.3453,0.5381,0.7248%,1.5923%,79.2783%,0.0706%,MSFT
10107,27/04/2020,252,-0.2865%,0.0005,1.2333,-0.2722,-0.5331,0.1027,0.7619%,2.5004%,90.7156%,-0.3083%,MSFT
10107,30/10/2017,252,0.0955%,0.0004,1.1431,-0.2108,-0.5482,0.4948,0.6355%,0.9527%,55.5089%,0.5169%,MSFT
10107,10/05/2017,252,0.3911%,0.0007,1.2802,-0.3232,-0.3724,0.1839,0.7176%,1.0255%,51.0339%,0.1919%,MSFT
10107,16/03/2020,252,-14.7390%,0.0007,1.2665,-0.6223,-0.5694,-0.0442,0.7110%,2.1545%,89.1098%,-0.3611%,MSFT
